Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Work_time
1.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,39.99
1.83,71.64,170.39,0.07,63.23,62.64,275.15,309.27,42.24
1.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,44.35
1.6,78.99,184.25,0.1,30.95,87.47,261.89,309.21,40.47
1.99,61.11,212.58,0.07,31.4,81.75,256.68,292.9,42.89
1.66,77.61,189.71,0.14,45.18,34.49,315.47,304.02,39.08
1.78,77.3,171.85,0.08,94.17,66.63,261.6,336.05,39.75
1.79,61.66,251.52,0.05,30.65,52.3,313.22,328.96,38.49
1.57,72.94,225.96,0.13,48.53,50.26,269.64,288.95,40.08
1.79,71.06,142.41,0.03,55.89,88.03,253.57,266.33,44.99
1.62,75.12,209.14,0.07,92.72,71.44,304.65,310.65,37.66
1.61,77.83,254.33,0.11,61.44,61.3,329.33,341.22,34.23
1.94,65,209.75,0.05,97.58,91.72,315.48,306.11,38.86
1.86,73.19,200.16,0.08,46.14,96.93,311.11,288.69,39.06
1.71,72.38,212.77,0.08,62.91,31.34,280.29,317.6,39.34
1.95,62.83,184.11,0.02,98.88,60.51,333.42,276.58,40.03
1.9,70.74,224.47,0.07,36.97,37.02,335.9,284.86,37.77
1.9,68.23,208.29,0.03,32.33,58.5,259.38,341.58,38.55
1.85,67.47,194.43,0.07,33.54,80.54,331.12,286.04,37.87
1.6,63.59,142.22,0.03,62.44,85.56,273.3,331.86,45.52
1.97,65.35,213.68,0.11,90.5,67.49,306.24,320.73,39.91
1.87,79.29,177.43,0.09,44.87,57.88,272.04,273.17,41.03
2.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,38.81
2.48,65.45,186.01,0.08,86.85,85.42,300.75,296.35,42.62
2.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,38.71
2.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,36.46
2.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,41.25
2.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,41.26
2.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,40.2
2.18,72.26,192.44,0.14,36.95,78.83,258.57,340.43,41.32
2.33,73.06,220.48,0.03,55.07,44.73,264.75,320.71,39.48
2.16,72.16,183.65,0.06,32.69,69.91,292.62,310.23,40.91
2.49,79.18,152.25,0.1,74.45,44.62,267.67,342.73,41.03
2.33,71.64,170.39,0.07,63.23,62.64,275.15,309.27,43.23
2.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,45.14
2.1,78.99,184.25,0.1,30.95,87.47,261.89,309.21,41.17
2.49,61.11,212.58,0.07,31.4,81.75,256.68,292.9,43.69
2.16,77.61,189.71,0.14,45.18,34.49,315.47,304.02,39.69
2.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,38.81
2.48,65.45,186.01,0.08,86.85,85.42,300.75,296.35,42.62
2.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,38.71
2.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,36.46
2.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,41.25
2.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,41.26
2.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,40.2
2.18,72.26,192.44,0.14,36.95,78.83,258.57,340.43,41.32
2.33,73.06,220.48,0.03,55.07,44.73,264.75,320.71,39.48
2.16,72.16,183.65,0.06,32.69,69.91,292.62,310.23,40.91
2.49,79.18,152.25,0.1,74.45,44.62,267.67,342.73,41.03
2.33,71.64,170.39,0.07,63.23,62.64,275.15,309.27,43.23
2.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,45.14
2.1,78.99,184.25,0.1,30.95,87.47,261.89,309.21,41.17
2.49,61.11,212.58,0.07,31.4,81.75,256.68,292.9,43.69
2.16,77.61,189.71,0.14,45.18,34.49,315.47,304.02,39.69
3.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,39.61
3.21,72.47,217.51,0.06,50.83,60.63,333.41,258.25,39.52
3.48,65.45,186.01,0.08,86.85,85.42,300.75,296.35,44.11
3.28,67.86,251.07,0.13,53.62,34.97,260.99,311.49,42.32
3.01,67.36,239.91,0.14,39.82,84.47,331.45,331.46,37.51
3.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,39.73
3.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,37.63
3.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,42.51
3.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,43.2
3.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,41.8
3.18,72.26,192.44,0.14,36.95,78.83,258.57,340.43,42.58
3.33,73.06,220.48,0.03,55.07,44.73,264.75,320.71,41.39
3.16,72.16,183.65,0.06,32.69,69.91,292.62,310.23,42.69
3.33,71.64,170.39,0.07,63.23,62.64,275.15,309.27,44.95
3.1,78.99,184.25,0.1,30.95,87.47,261.89,309.21,42.68
3.49,61.11,212.58,0.07,31.4,81.75,256.68,292.9,45.19
3.14,79.59,154.42,0.06,63.66,50.73,263.84,315.13,45.25
3.28,77.3,171.85,0.08,94.17,66.63,261.6,336.05,40.61
3.07,72.94,225.96,0.13,48.53,50.26,269.64,288.95,41.87
3.29,71.06,142.41,0.03,55.89,88.03,253.57,266.33,48.85
3.34,71.39,172.4,0.11,50.19,81.46,339.75,292.15,37.64
3.12,75.12,209.14,0.07,92.72,71.44,304.65,310.65,40.12
3.35,62.32,175.69,0.12,58.83,86.97,288.84,313.94,45.18
3.44,65,209.75,0.05,97.58,91.72,315.48,306.11,41.28
3.36,73.19,200.16,0.08,46.14,96.93,311.11,288.69,41.32
3.77,71.86,225.82,0.13,90.06,72.19,302.19,329.4,39.96
3.71,72.47,217.51,0.06,50.83,60.63,333.41,258.25,40.31
3.98,65.45,186.01,0.08,86.85,85.42,300.75,296.35,44.75
3.78,67.86,251.07,0.13,53.62,34.97,260.99,311.49,42.84
3.51,67.36,239.91,0.14,39.82,84.47,331.45,331.46,37.91
3.99,69.47,235.9,0.12,66.43,62.3,323.4,314.25,40.21
3.56,74.41,216.79,0.09,67.62,40.03,338.17,321.43,38.14
3.76,62.12,189.76,0.08,43.04,48.52,322.83,319.47,43.02
3.81,64.45,214.03,0.06,93.18,96.06,314.51,293.65,42.46
3.68,72.26,192.44,0.14,36.95,78.83,258.57,340.43,43.09
3.83,73.06,220.48,0.03,55.07,44.73,264.75,320.71,42.14
3.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,43.47
3.83,71.64,170.39,0.07,63.23,62.64,275.15,309.27,45.65
3.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,47.11
3.6,78.99,184.25,0.1,30.95,87.47,261.89,309.21,43.39
